Rownum,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,Mean AQI
3045,0.011706,0.026,10,24,0.920833,1.5,23,17.0,0.5217390000000001,2.0,5,3.0,43.0,65.0,10,63,26.75
252149,0.014059,0.028,10,26,0.616667,0.9,7,10.0,0.5217390000000001,2.0,0,3.0,31.652174,44.0,21,42,20.25
470615,0.031882,0.038,9,35,0.0666669999999999,0.2,8,2.0,0.666667,1.9,7,1.0,6.0,18.5,7,17,13.75
26976,0.038824,0.047,10,44,0.4125,0.5,10,6.0,2.782609,5.0,5,7.0,17.304348,32.0,7,30,21.75
197273,0.044765,0.054,9,50,0.179167,0.2,0,2.0,1.391304,3.0,6,4.0,3.608696,15.0,0,14,17.5
97575,0.046143,0.053,11,49,0.30625,0.4,5,5.0,1.444444,3.0,5,4.0,8.105263,44.0,5,42,25.0
438779,0.028294,0.043,9,40,0.225,0.3,0,3.0,0.320833,1.0,13,1.0,7.347825999999999,16.9,0,15,14.75
3048,0.031118,0.043,11,40,0.854167,1.1,0,13.0,0.130435,1.0,5,1.0,34.0,52.0,18,49,25.75
438976,0.018412,0.039,9,36,0.579167,1.0,0,11.0,0.45,0.7,19,0.0,33.720833,55.4,19,52,24.75
562269,0.0215,0.022,22,20,0.3,0.4,0,5.0,0.004167,0.1,22,0.0,13.2375,25.6,0,24,12.25
530891,0.033882,0.044,11,41,0.245833,0.3,0,3.0,0.2125,0.4,12,0.0,10.329167,17.4,10,16,15.0
225307,0.016294,0.039,10,36,0.954167,1.4,0,16.0,0.478261,2.0,6,3.0,39.0,63.0,18,61,29.0
562523,0.028,0.045,11,42,0.266667,0.3,4,3.0,0.804167,3.7,13,4.0,15.405263,25.0,6,24,18.25
592047,0.025588,0.049,10,45,0.470833,0.6,5,7.0,0.175,0.4,7,0.0,18.7,41.1,20,39,22.75
470555,0.029118,0.041,13,38,0.258333,0.3,10,3.0,0.633333,2.2,22,3.0,6.479167,37.8,22,35,19.75
375945,0.008929,0.012,9,11,0.2375,0.4,22,5.0,-0.017391,0.1,8,0.0,21.17619,27.2,17,25,10.25
197361,0.039824,0.05,10,46,0.2,0.2,0,2.0,0.0,0.0,0,0.0,4.652174,11.0,23,10,14.5
252418,0.020294,0.032,10,30,0.320833,0.4,0,5.0,0.017391,0.3,9,0.0,15.152174,26.9,22,25,15.0
167701,0.023647,0.043,11,40,0.575,0.8,11,9.0,0.956522,3.0,10,4.0,36.521739,58.0,0,55,27.0
531005,0.026588,0.049,10,45,0.404167,0.6,7,7.0,0.529167,0.9,11,0.0,16.3625,32.7,22,30,20.5
26850,0.032118,0.062,10,74,0.720833,0.9,5,10.0,2.347826,8.0,5,11.0,40.26087,61.0,22,58,38.25
407023,0.026647,0.046,11,43,1.016667,1.4,7,16.0,0.259091,0.8,7,0.0,41.147619,54.3,20,51,27.5
531256,0.014176,0.028,10,26,0.5375,0.9,2,10.0,0.554167,0.8,17,0.0,20.504167,35.0,20,33,17.25
591907,0.013765,0.033,9,31,0.568421,0.8,5,9.0,0.308333,0.8,2,0.0,23.0125,35.6,18,33,18.25
252454,0.005824,0.015,7,14,0.495833,0.9,23,10.0,0.145455,1.2,5,1.0,19.045455,30.9,18,28,13.25
309294,0.004471,0.011,9,10,0.941667,1.3,22,15.0,1.031818,1.9,20,1.0,40.040909,48.3,19,45,17.75
142790,0.028588,0.054,10,50,0.129167,0.4,23,5.0,0.0,0.0,0,0.0,17.652174,43.0,22,41,24.0
501185,0.039588,0.056,11,54,0.179167,0.3,7,3.0,0.645833,1.6,7,1.0,8.891667,29.3,6,27,21.25
50768,0.024706,0.041,10,38,1.1,1.9,4,22.0,2.565217,5.0,7,7.0,31.521739,55.0,0,52,29.75
50068,0.024471,0.042,10,39,1.3875,2.5,4,28.0,1.6521740000000005,6.0,23,9.0,33.217391,54.0,20,51,31.75
119690,0.012647,0.023,12,21,1.079167,1.6,15,18.0,2.173913,4.0,12,6.0,54.0,93.0,13,93,34.5
74796,0.029118,0.054,11,50,0.616667,0.8,23,9.0,2.0,3.0,5,4.0,25.652174,46.0,22,43,26.5
342673,0.026588,0.033,11,31,0.083333,0.1,0,1.0,0.0,0.0,0,0.0,5.0,11.5,1,10,10.5
439748,0.016118,0.033,9,31,0.379167,0.7,23,8.0,0.6,1.1,13,1.0,14.9,34.7,23,32,18.0
278472,0.032176,0.042,11,39,0.0875,0.2,9,2.0,0.0,0.0,0,0.0,13.247826000000002,29.5,7,27,17.0
375756,0.043929,0.063,10,77,0.37619,0.7,3,8.0,0.2,0.8,13,0.0,11.066667,33.6,0,31,29.0
438503,0.027765,0.034,10,31,0.391667,0.6,4,7.0,0.073913,0.3,8,0.0,16.7,27.5,0,25,15.75
74889,0.019588,0.033,10,31,0.725,1.2,11,14.0,5.086957,8.0,7,11.0,33.826087,58.0,10,55,27.75
26233,0.009294,0.017,8,16,1.65,2.9,23,33.0,0.434783,3.0,22,4.0,33.652174,52.0,18,49,25.5
592382,0.024471,0.046,9,43,0.2875,0.4,0,5.0,0.825,1.8,15,1.0,16.816667000000002,25.0,5,24,18.25
438969,0.020412,0.044,10,41,0.6125,0.8,6,9.0,0.375,0.8,15,0.0,22.125,30.6,21,28,19.5
563246,0.019941,0.023,7,21,0.1,0.1,0,1.0,0.1375,0.2,4,0.0,0.404167,2.8,5,2,6.0
375453,0.030471,0.047,10,44,0.3375,0.4,0,5.0,-0.063636,0.2,4,0.0,9.056522,20.2,22,19,17.0
196441,0.030412,0.04,9,37,0.3,0.3,0,3.0,0.0,0.0,0,0.0,9.347826,38.0,23,36,19.0
470635,0.032706,0.044,10,41,0.120833,0.2,9,2.0,0.808333,2.2,9,3.0,5.4875,17.9,23,16,15.5
97072,0.019118,0.034,11,31,0.529167,0.9,8,10.0,2.347826,4.0,5,6.0,26.130435,39.0,0,37,21.0
470031,0.019941,0.044,10,41,0.475,0.8,23,9.0,0.391667,0.7,2,0.0,22.3375,42.1,19,40,22.5
342731,0.026765,0.034,7,31,0.008333,0.1,22,1.0,0.0,0.0,0,0.0,1.782609,6.2,22,6,9.5
225849,0.029118,0.038,8,35,0.0625,0.1,6,1.0,1.1875,2.0,13,3.0,13.0,13.0,7,12,12.75
119824,0.029235,0.047,9,44,0.291667,0.4,3,5.0,0.434783,2.0,8,3.0,14.347826,29.0,0,27,19.75
277539,0.011353,0.026,8,24,0.370833,0.7,23,8.0,0.063636,0.4,3,0.0,20.177273,32.9,18,30,15.5
277333,0.033118,0.039,8,36,0.254167,0.4,6,5.0,0.134783,1.2,12,1.0,10.745833,26.6,4,25,16.75
26002,0.019706,0.036,10,33,1.408333,2.1,6,24.0,2.454545,3.0,0,4.0,35.545455,53.0,20,50,27.75
408092,0.020118,0.035,11,32,0.325,0.5,10,6.0,0.956522,4.8,9,6.0,23.669565,46.6,9,43,21.75
592364,0.034294,0.057,11,58,0.3125,0.4,4,5.0,0.608333,1.0,11,1.0,15.6375,28.0,6,26,22.5
