Rownum,Predicteddate
706,20149138.561781008
707,20121929.608925913
708,20134542.747203227
709,20182628.894482378
710,20158290.81536657
711,20165066.689414658
712,20135004.41640682
713,20074707.358690463
714,20156651.34337757
715,20153109.539111532
716,20107796.520988274
717,20047621.326643344
718,20121845.999304198
719,20145728.33562731
720,20123965.6613237
721,20171559.18637315
722,20139587.49653051
723,20153769.376365367
724,20054904.137616217
725,20125950.613132622
726,20183654.01452281
727,20149808.248874713
728,20173516.623222478
729,20130782.336364117
730,20149241.19649774
731,20150316.270679418
732,20180232.241152827
733,20086493.604459893
734,20153119.421975754
735,20169140.924138047
736,20081374.1096198
737,20119892.675818864
738,20142623.772603773
739,20163559.679090112
740,20022304.21093012
741,20151676.538624443
742,20171017.1210827
743,20073903.11178003
744,20167669.466642894
745,20171655.310842983
746,20058999.381852403
747,20064833.525679667
748,20085806.88758132
749,20093058.408167727
750,20107817.501512855
751,20111559.851666994
752,20138039.06866729
753,20129408.9919112
754,20087757.441192262
755,20143303.05317562
756,20153931.12778991
757,20132748.456005823
758,20076270.23052427
759,20067110.081619494
760,20155612.419812188
761,20097263.201113116
762,20134926.51562962
763,20095544.059699506
764,20120834.92850016
765,20134183.1697153
766,20131339.698003203
767,20167792.5788526
768,20129197.611242197
769,20121821.90050047
770,20074263.771730427
771,20075491.678672746
772,20147759.198087648
773,20142257.03226012
774,20086613.360584233
775,20050893.86718789
776,20167560.190374088
777,20173036.74182204
778,20093085.45668208
779,20140758.420335356
780,20157773.33255177
781,20127822.17222868
782,20172471.21285418
783,20095790.545795094
784,20073807.85929887
785,20054010.386036526
786,20123716.354874805
787,20146346.868003033
788,20114700.477722306
789,20068809.790096525
790,20149575.391149696
791,20135700.26603146
792,20027577.30920363
793,20118849.108398758
794,20036488.752841536
795,20140996.66721576
796,20062961.21812187
797,20119854.544992473
798,20052591.036772344
799,20153887.248511493
800,20120297.858732138
801,20125943.318870682
802,20066371.071316354
803,20099621.01948125
804,20169643.040557303
805,20117381.008062623
806,20037417.90540617
807,20162325.82846946
808,20068313.56021576
809,20125882.94213463
810,20126972.24027787
811,20091623.811113235
812,20168748.393613886
813,20115843.864909492
814,19869158.806051265
815,20162620.774539676
816,20124848.140707385
817,20179948.300184328
818,20174848.57383829
819,20055099.737947296
820,20170799.72678125
821,20047970.162780758
822,20133229.499588948
823,20124084.292168558
824,20157331.194246277
825,20156003.583776493
826,20093080.43208751
827,20162220.70043065
828,20152864.53692557
829,20153956.613303117
830,20129197.799377874
831,20153068.654736113
832,20085805.78347721
833,20135739.39795866
834,20184728.198300786
835,20084757.99679017
836,20020830.459331393
837,20157047.16526886
838,20156156.59520105
839,20126371.034646414
840,20151086.534110587
841,20142414.682649758
842,20034812.196313746
843,20041523.411265813
844,20048807.4052652
845,20155370.48169111
846,20087341.97873328
847,20167390.89932607
848,20145504.3131619
849,20152020.594957173
850,20164350.699209165
851,20124947.55976012
852,19998338.368003704
853,20046000.561823986
854,20179132.08385845
855,20085720.62374171
856,20162901.996561408
857,20092188.364534847
858,20116461.875022653
859,20177472.822374754
860,20093636.60222183
861,20168481.41924878
862,20099782.409891933
863,20070626.01279329
864,20015466.27596459
865,20108990.355420507
866,20165524.972026564
867,20090488.132012155
868,20027226.825213034
869,20165529.1182102
870,19910145.457443442
871,20166146.70269407
872,20096468.81958675
873,20126886.833263393
874,20163961.33660924
875,20167855.843051583
876,20001344.12238295
877,20142159.22201613
878,20148328.972407203
879,20019831.169752404
880,20155152.138063256
881,20121705.233445074
882,20111132.528894383
883,20162894.31330546
884,20113904.526587646
